,wAP0021_d8_54A,wAP0031_d4_55A,wAP0034_d0_56A,wAP0035_d4_57A,wAP0037_d0_63A,wAP0038_d8_58A,wAP0040_d8_59A,wAP0041_d4_64A,wAP0043_d4_60A,wAP0045_d8_65A,wAP0046_d4_62A,wAP0047_d0_66A,wAP0048_d4_67A,wAP0049_d0_68A,wAP0049_d8_61A,wAP0050_d4_69A,wAP0054_d8_70A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
MYOCOS,1.444728189,0.452080363,-0.209438235,0.457632829,0.021113411,-0.229089204,0.918507427,0.845294776,-0.265029131,-0.256841964,0.268222819,0.379382596,0.806718344,0.083310549,0.107234702,0.453442415,-0.106920294,0.68851812,1.312270423,0.190493297,-0.051180111,-1.037220159,-0.338738843,-2.392024595,0.0018528,-0.117146298,-0.025914016,-0.095789427
TLE7,-0.421179365,-0.055532167,-0.134347682,-0.146615966,-0.394852496,-0.078940816,0.343051159,0.311654567,-0.198765475,-0.367658857,0.5777771,-0.433423389,0.014054413,0.051221206,-0.153547912,0.28852547,0.376107503,-0.272611378,0.263451683,-0.002760022,-0.645759146,0.261299139,-0.068240456,0.010705375,-0.123208324,0.159811718,-0.279099249,0.332029185
OOSP4A,-0.785813898,0.894795238,0.558802023,-0.231364563,-0.344895224,-0.308219793,0.33193774,0.374014222,-0.366057462,0.232786639,0.103042649,-0.919558717,0.69678043,0.804618056,0.24700121,-0.353376204,-0.271540354,-0.251635942,-0.349465444,0.029535497,0.468557654,0.328376217,-0.380115977,-0.546011289,-0.738714216,0.463987381,-0.784768505,0.471135917
UBA6,-0.71551007,-0.393270577,0.383358654,-0.557862505,0.175060826,0.038464925,-0.11264483,-0.410222927,-0.674477518,0,0.252648242,0.041923411,0.459560079,0.020115188,0.155772855,-0.346303246,1.062062404,-0.177789216,-0.281579239,-0.130195902,-0.122622394,-0.168188559,-0.286849537,-0.192861714,-0.364922775,0.224053012,-0.006826079,-0.398567022
ESYT2,NA,-1.395277981,0.735864049,-1.349679167,-2.010512349,-0.086393967,0.063487501,0.272338176,1.095340539,0.454148785,0.061863177,0.495806989,0.262550774,0.386226282,NA,0.161249672,-0.320718049,-3.601332833,0.717079999,0.44700948,0.196730845,0.62024756,-0.561552552,NA,-0.846840369,0.488427685,-0.373344576,0.900146993
SHTN1,0.241470329,0.28161477,-0.628098697,-0.130651796,0.162329619,-0.343381357,0.262542287,0.526249698,-0.195388619,0.254387711,0.1042935,-0.046248524,0.39635951,0.506051365,0.728457432,-0.154373128,0.459238646,0.173776561,0.59096712,0.383245082,-0.400296032,0.238544877,-0.718680022,0.58187804,0.631148633,-0.289328497,0.680049109,0.722061654
GTPBP10,-0.128150727,-1.317911247,-0.487960381,0.496618826,-0.040185038,1.205054153,-0.160592107,-0.86204243,0.347835473,-0.127049642,-0.056114099,0.520531692,1.300979357,-1.117816951,-0.097371349,0.742854715,0.705312605,-0.918536801,-0.009523474,-0.095695487,0.696550135,0.91932053,0.447921277,-1.222585835,0.07686137,-1.858123639,0.059425337,0.17208165
DPPA5,1.420454588,0.688727019,0.037471758,-0.297895928,0.075644344,-0.44560852,0.770875228,0.338748349,0.730724544,-3.56732154,-0.35285213,-0.873403264,-0.003358178,0.703871077,1.125184132,0.211279355,-0.273002825,0.984566364,-0.420137642,0.255676268,-1.294274436,0.790001296,0.398368437,0.160384371,-0.329575481,-0.185248325,-0.348672213,-0.130326942
IZUMO1R,1.068169568,-0.683917967,-1.024898729,-0.058327921,-0.135568676,0.228310948,0.736804794,-0.379612266,0.242439464,-1.095880635,-0.458519529,-0.267990371,0.189030736,0.991994079,-0.025942485,0.297478738,-0.759455612,-0.229694903,0.460185833,0.462799345,0.134673078,0.742856173,-0.545719251,0.725352085,-0.876270414,-0.021338236,-0.175344421,-0.489120959
PGP,-1.94035327,-0.025424543,-0.403685891,0.271521005,-0.224438126,-0.129213461,0.714057584,-0.621931272,0.443057662,NA,0.171505545,-0.171809339,1.127084946,0.832514156,NA,0.438934141,-0.155580438,0.229867435,-2.508358279,-2.380309783,-0.043510037,-0.095722547,-1.00084029,0.788811957,-0.228360901,0.138821497,-1.201099986,0.232540412
ZNF840P,-0.54974841,0.064236131,-0.1649809,0.051869833,0.053258764,0.228417744,0.087693091,-0.070983302,-0.113745809,0.87020725,0.39092129,0,-0.260890951,0.385584591,0.279174316,0.391160448,0.353462068,0.247204821,-0.013931796,0.534241883,0.211474858,0.244548731,-0.688498265,-0.578926246,-0.105257783,0.068595963,0.122509433,0.194576047
OOEP,-0.037234307,-0.059545879,-0.007013723,-0.115317996,-0.212713008,0.102956272,-0.266060315,-0.1590945,0.176896899,-0.388751459,-0.650187069,0.132052921,-0.017694549,0.252102583,-0.845765597,0.304591054,-0.789135369,0.118533528,0.137469098,0.263637984,0.110586738,-0.20490913,-0.428356415,0.036842049,0.153231618,-0.008128791,0.285415667,0.128362691
PCP4L1,-0.198554039,0,-0.15018827,0.124076479,-0.155340461,0.784928014,1.120991688,-0.270806761,0.646912178,0.189920901,0.382241092,0.335333674,0.404673533,0.327907995,1.523834775,1.209246653,1.103444359,0.26562412,1.093533485,0.97101555,0.981543534,1.050110643,0.01866515,0.23334519,-0.809493903,-0.852336547,0.775699325,0.136872002
EIF4E1B,0.054878675,0.00852054,0.053470434,-0.844248005,0.126259034,0.068227525,-0.653175335,0.06226424,-1.103384551,0.38404962,-0.41341659,-0.260817677,-0.005873315,0.636900187,0.29191188,-1.402897798,-0.526521242,-0.255914003,-0.84678938,-1.139944436,-0.316699919,0.379902136,-0.307608174,-0.370490087,-0.295646913,0.232476087,-0.592294799,-0.108327941
TUBB8B,0.43893797,0.645558588,1.001655125,0.324843589,0.362397574,0.975059512,0.513844274,-0.181330139,0.441633814,-2.23527274,-0.546645007,-0.184148838,-0.554996768,0.85277455,-0.628601526,-1.265011026,-0.499364981,1.91528418,0.414017751,-0.35587371,1.459908185,-0.08141869,0.735700403,0.527181511,1.911549372,0.760034365,-0.094948814,0.884766584
HIDE1,0.776026393,-0.06642937,-0.856690895,-0.159138124,0.7473253,0.48143546,-0.697047097,0.094395788,0.901117913,NA,-0.057138022,0.620396299,0.713105101,0.138947591,1.012582663,0.621654572,0.505695034,-0.287554245,0.05533343,0.563397917,NA,-0.208360623,-0.029662133,0.054083451,0.050230289,-0.458983783,-0.453149029,0.673407731
KPNA7,-2.252994516,-0.194870043,0.940518077,-0.319724557,-0.278567644,0.296675885,0.100295471,1.151036541,-0.915429378,1.087551231,-0.250140797,0.071174463,1.108023907,0.623681352,-0.071570451,-1.336360198,-1.266161186,1.02852716,NA,NA,0.522432468,-1.692541493,-0.996317135,-0.080512375,-0.962004129,0.388946479,0.479037036,-0.262656463
PATL2,-0.222529839,-0.137212847,0.50395641,0.337902917,-0.495466627,0.156967948,0,0.052162501,-0.091049964,-0.984216193,0.015853851,-0.199102878,0.027785123,0.162122075,-0.523882305,-0.197177689,-0.742400749,0.133528776,-0.292074796,-0.376912216,-0.064798699,0.12109128,-0.018940196,-0.752900865,-1.060853675,-0.836653667,-1.133324842,-0.452661429
NACA,-0.543775657,0.601414905,0.037966564,-0.614502848,-0.00171437,-0.390773842,-0.796527629,0.09132914,-0.208764692,-0.815724427,-0.249919418,0.016476981,0.121060191,0.525910714,0.548865287,-0.618482935,0.071710583,-0.322841922,-0.086125029,-0.315232753,-0.45966205,-0.296055148,-0.329473746,0.072296797,0.274549652,0.595564532,0.625051288,-0.287700068
SLC35A4,0.472809015,-0.398581565,0.421316023,-0.34957109,-0.299579208,0.405133462,-0.211463043,-0.414589402,-0.382698193,-0.52918469,0.565635982,-0.499149015,0.010386787,0.533027968,0.694193643,0.200293097,-0.072328612,0.541600005,0.529461525,0.830722753,-0.361327311,-0.108881688,0.66493773,1.065660026,-0.625958165,-1.16734932,0.061327598,-0.252638604
ACOT7,-0.123435273,-0.34020221,0.140661873,-0.038562677,-0.65813257,0.558312384,-0.125221704,0.239361113,0.274695717,-0.27090796,0.101688815,-0.02256206,0.29051985,0.003950074,-0.207469313,-0.142920449,0.245090901,0.83570572,-0.050087325,0.179388185,0.580573734,0.344878898,0.530170823,-0.672573973,-0.119829879,0.269025112,0.351151509,-0.148618844
AIP,0.61953931,0.270948667,-1.009362572,0.23624332,-0.126754054,0.069164498,-0.315031115,0.065620262,1.076307854,0.252645687,-0.395800718,-0.1103675,0.900804304,-0.396441044,-0.430200878,0.359781674,0.750754823,0.758642808,0.69070984,0.754492865,-0.015953335,0.588983643,-0.086790216,-0.160656801,-0.06090024,-0.120396652,-0.11199455,1.022344914
STXBP3,0.377233947,1.016182134,NA,NA,-0.280007905,0.28861565,0.187336573,0.324663828,0.426494646,NA,-1.752940796,-0.792568705,0.630877985,0.990007,-0.443144153,0.215417529,-0.131479046,-0.116646228,0.519590343,0.419251458,-0.181490111,-2.059957153,1.053072917,0.210872692,-0.319551984,0.469314261,NA,-0.324818112
AP3B1,-0.173038386,-1.013055564,0.112804539,0,0.791374994,0.441587789,0.605047385,-0.075770928,NA,1.62252483,0.288324251,-0.859963245,-1.537464407,-0.618607829,-0.025676515,-0.192294263,0.684708923,0.029608069,1.27336484,0.754548096,0.858486497,-0.518588452,NA,-0.039434478,-0.290647207,-0.359061095,0.888184688,-0.076983459
LGALS8,-0.046128573,-0.157744073,0.506009879,-0.047816344,-0.375602171,0.069185885,0.377980425,0.340348094,-0.453415426,0.817453922,-0.117259995,0.075386103,-0.111105458,0.956395162,0.364259161,0.555260214,0.911547227,0.314031782,-0.437811344,-0.774427701,0.884694293,0.708811766,0.019292705,-0.038505666,0.591880157,0.132433051,0.187402218,-0.143641426
NDUFS8,0.541795899,-0.326346061,-3.195070651,-0.102147354,-0.372104675,0.49299278,0.628306867,-0.592713052,0.020847478,NA,0.129888178,0.424139375,0.663218903,0.142913428,-0.476675481,0.882525564,0.248681258,-2.870149011,0.219936774,-0.108331869,0.955805253,0.72518374,0.310965921,0.067755212,-1.847308587,0.417147464,-0.937933806,-0.530897785
PSMD11,-0.367232415,-0.153011923,-0.049723698,-0.43173951,0.124722492,0.064745723,-0.188651429,-0.13393582,0.032541833,0.041749184,0.111707354,-0.0104522,-0.116076466,0.122958687,-0.399683838,-0.311464624,0.01901382,-0.122970254,-0.06498034,0.326123236,-0.333972845,-0.081497087,-0.222122898,0.271472146,-0.671033058,0.234798704,0.157663289,-0.32335917
PSMD12,0.437129758,0.19376692,-0.012497109,-0.539587691,0.84675119,-0.815214847,-0.902488618,-0.245084857,-0.616237728,NA,-0.056791132,0.212682006,-0.122771881,0.364036349,0.081989392,-0.114909538,-0.054612186,-0.608595593,0.553462748,-0.014797751,NA,0.371628865,-0.09001197,0.206574293,-0.071285111,1.174097172,-0.133193755,0.64421525
ATOX1,0.640528527,0.500485805,-0.910884596,0.298877137,0.352259486,0.067582733,0.150066705,0.532306067,-0.265109015,-0.464712014,0.87671624,1.085653116,-0.558522954,0.655855909,0.612710001,-0.40956114,0.050088609,0.035196767,0.316428206,0.699786389,-0.740828028,0.655959436,0.484044143,-0.661229973,-0.180903196,0.592905089,0.194237195,0.099609046
DFFA,-1.812542702,-0.101174975,-0.411247286,0.459775259,-0.300896593,0.248382888,-0.196070263,0.911003607,1.112469811,0.821159102,1.025155548,-0.333963616,0.87567025,-0.942841318,-0.060103261,-0.603892994,0.232915722,-2.46561563,-0.365622801,0.970796772,-0.024532428,-0.051888316,1.014362671,-0.953361216,-0.130347206,-0.661605959,0.145585269,1.149981668
PDHX,-1.139846948,0.770775943,-0.358824826,-0.139457365,0.802068744,-0.213629753,0.342063429,-0.163851252,-0.183245024,0.697132755,-0.034258015,-0.217450227,0.219047933,-0.097588991,-1.247959578,0.208186055,-0.393355844,-0.087053799,-0.376205368,0.279533778,0.306427289,0.056904638,0.138009005,-0.090421134,-0.110287612,0.407414979,1.100437242,0.770805299
IGF2BP3,-0.124011699,-0.071589436,-0.005867969,-0.332202271,-0.289583142,0.200360586,-0.2089997,-0.280947937,-0.502903512,-0.019646281,0.125667903,-1.05616408,-0.097340155,0.070449852,-0.241308211,-0.642021771,-0.618832774,-0.816928227,-0.718980942,-0.339460313,-0.272438466,0.270800528,-0.503025192,-0.102447285,-0.309104972,-0.171076595,-0.860823594,-0.45325935
DNM1L,-0.203862279,-0.147609213,-0.763362834,0.123431488,-0.183839273,0.313425892,0.192955661,-0.188246632,0.413675308,0.535818524,0.587170293,0.147630847,-0.087933643,0.550270063,0.503992021,-0.287642416,0.541960728,-0.04735886,-0.153057881,-0.201374385,0.189808965,0.388568412,-0.674636239,0.421837282,0.629150742,0.251291141,0.286392489,-0.112844318
RTCA,-0.219768137,-0.517420207,-0.309191572,-0.211149818,0.938764243,0.332314626,0.478627571,0.825785902,-0.576529309,-1.290476639,0.464693445,-0.27678358,0.155662698,-0.002712944,-0.20333328,0.254552498,0.104960228,0.627807569,0.294959042,-1.111225032,NA,-0.276115029,-0.115987711,-0.515779226,-0.219258237,-0.243526501,-0.861276787,-0.681792643
NDUFA4,-2.781573704,-0.043465738,-0.190065377,-0.1672683,0.333486759,1.667479128,0.590577185,NA,-2.543444981,NA,-0.768196609,0.389142196,0.173185905,-1.104508955,0.945151508,0,0.350515075,-0.505014613,-0.296816638,1.317284943,0.666662798,-0.746751347,0.53917116,0.932058426,0.38822789,0.710264745,-0.742619665,-1.204667444
PSMD14,-0.598646889,-0.282287017,-0.21607841,-0.189549147,0.083683333,0.351996764,0.022332243,0.400229321,-0.435493074,-0.212921574,0.141038116,0.214907171,0.523966318,-0.468307983,0.209259971,-0.400437153,-0.493347627,-0.079507554,-0.002617455,0.114720453,-0.429543766,-0.086155972,-0.750075283,-0.094559577,-0.813415255,-0.013162841,-0.350597167,-0.215113421
LAD1,0.225547598,-0.222254871,-0.099704798,-0.151820274,-0.453865118,-0.27186241,-0.708750946,-0.419857928,0.307858204,0.369124115,0.183155448,-0.140897275,-0.141572464,-0.735647244,0.189360463,-0.387610131,0.011299934,0.208567652,0,0.475423459,0.004566358,0.180916642,-0.461762911,-0.260776689,0.055664275,-0.281153869,0.501057224,0.162722266
VWA5A,-0.429994847,-0.308555549,-0.526578622,0.290029087,0.179335449,0.357917856,0.148910351,0.129588614,0.090389266,0.091111284,0.005674583,0.632818176,-0.203091307,0.466583928,0.542284272,-0.18727203,0.362111665,0.208608912,-0.037362841,-0.495807447,0.294026886,-0.26308163,-0.173846234,-0.529775908,0.166554818,0.125323743,0.093778343,0.232331444
SDCBP,-0.616719652,0.334198258,0.067299701,0.231750671,0.557496493,0.594026937,0.391759687,0.913099671,0.326484953,1.016751801,0.132451658,-0.303262242,0.875290234,0.025816421,0.346551574,0.056246801,-0.385311581,1.312797978,0.391640831,0.455244869,-0.863339503,-0.351803822,0.318380524,0.200840082,-0.848657216,1.115189878,-0.594718277,-1.066790409
DDX3X,-0.471672246,0.216198408,-0.141396582,0.586923325,-0.198435038,-0.527891915,-0.801403424,0.05454766,-0.521144427,-1.491563579,0.460517815,-0.302166943,-0.157011585,-0.171314647,-0.127046894,-0.189155448,0.174053521,-0.111810705,-0.23082352,-0.164028966,0.003366923,0.089813934,0.148140079,0.273485366,-0.246289559,0.030595778,-0.446937368,-0.473345858
PODXL,-1.22220257,0.348053284,0.020620968,-0.976647557,-0.441976002,0.23848141,0.594998412,-0.455556679,-1.288849273,-1.203305733,0.839391035,-0.184230326,0.91961496,0.667206865,-0.71383046,0.394145417,-0.83983835,-0.082904546,-1.283621868,-0.854550896,0.889986911,0.09230438,0.499470681,-0.230342633,-0.087460491,-0.608657425,-0.746619003,-0.833454359
PDXK,0.229541117,-0.96629906,-0.059400709,0.260850433,-0.076284381,0.041783577,0.17090953,-0.271153291,0.648143996,0.212632746,0.13866626,-0.28132869,0.562625032,0.078607532,0.353240183,-0.278043699,0.651035843,-0.69233315,-1.315969696,0.400199906,-0.929415213,0.275686259,0.322694562,0.346959136,-0.165303645,0.2234527,0.705000087,-0.215387285
TRAFD1,-0.080133088,1.053125343,-2.311959973,-1.924144628,0.282729414,0.662787006,-0.115440044,1.025169546,1.962294276,0.748882129,-0.27234135,-0.965802371,-1.154594677,-0.545453541,0.022164549,-0.103004263,0.58229967,-1.108859539,0.220193256,0.34120784,0.326925643,0.939172607,-0.022510389,-0.116383699,0.415335472,-0.311036601,1.086135926,0.073087474
NDUFAB1,NA,-1.702293417,1.047522911,0.568910714,0.030157736,-1.032897132,-0.059514285,-0.875127141,0.082856043,1.052820854,0.218734336,0.625913885,NA,-0.902561429,-0.805734128,-1.759025643,0.631903632,-0.604462217,0.658321861,0.728115211,0.655782911,0.162795028,-0.5718262,1.820432367,-0.245028217,0.430187423,1.014336837,0.199330448
UBFD1,1.543892717,0.338716219,-0.016020518,0.596981776,0.373625671,0.302813083,0.454222592,0.017673674,1.1598015,0.369052699,0.024224128,-0.986890943,0.579615246,-0.468316928,0.776427062,-0.024488908,0.46454261,0.405803993,-0.022259536,0.5309222,-0.213968793,-0.526760372,-0.21739965,0.274452109,-0.336434108,-0.361853454,0.055940953,-0.342238347
CIT,0.890782984,0.220098025,-0.34035174,-0.230830613,0.007996091,-0.092079286,0.260042196,-0.029815849,-0.633695128,NA,-0.234885466,-0.221412888,-0.293581002,-0.89990565,0.049078601,0.335934311,-0.293833972,-0.388960654,-0.339399691,0.0096095,-0.064279277,0.389099587,-0.118997711,-0.1473889,-1.515573341,-0.851558371,-0.090707325,-0.044930877
COPE,-0.704877066,0.000660232,0.673728722,-0.016159486,0.269957162,-0.424215844,0.084321553,0.009387169,-0.359566679,0.131136731,0.681078657,-0.171761485,-0.209730573,-0.250223434,0.234424229,-0.031081595,-0.997150933,-0.501756673,-1.085965611,0.056761786,0.237585828,0.216018885,-0.555331028,0.476729763,-0.000660535,0.634074047,0.453323112,0.363850803
CCS,0.835401233,-0.198261103,-1.719305518,1.028279981,0.041773185,0.579562615,-0.973432378,-2.521186542,1.192090556,-0.821526904,-1.019217729,0.632725377,-0.861245177,0.447750396,0.146389661,-1.117182778,-0.780565127,-0.230362638,-0.214761156,0.172175872,-0.386977858,-0.160877359,-0.683033407,-0.393175182,0.541928745,0.038603704,0.045798508,0.859544658
PDCD5,0.471111154,0.615692719,-0.445834015,0.110950609,0.301930563,0.49146525,0.255759195,0.13709877,0.518237054,0.237961542,-0.11739699,0.500483298,0.234846243,0.509981796,0.293944851,0.44499951,0.071517695,0.35456496,0.734265137,0.582576795,0.354200747,0.101134666,-0.183128003,0.037255849,0.263105026,-0.02433195,0.258184749,0.479799613
NHERF1,-0.577163595,-0.589306996,0.150721123,-0.377348194,0.046470603,-0.073560769,0.40568282,0.288928411,0.212486338,0.002422376,-0.156987991,-0.164678861,0.37306083,0,-0.252512818,-0.125937826,-0.081266788,0.290406201,-0.307730957,-0.511438354,-0.001703282,0.184596589,0.000216056,0.106813207,-0.380624356,-0.254781378,0.215651823,0.105369301
TAAR5,0.0430461,0.475308295,0.635698099,-0.089271278,-0.274237849,NA,-0.077523963,NA,-0.107739298,0.588879948,-0.436546717,0.227885829,-0.548955325,-0.173505659,NA,-1.391987503,-0.00814321,0.743181963,-0.34158524,-0.480288579,0.231392819,-0.027897645,0.346778426,-0.211871068,-1.342708128,-0.030590109,-0.113820181,-0.289307701
PSMA7,0.183040073,-0.112131031,-0.451571057,0.779969836,-0.109881691,0.628318854,0.296672397,-0.166636231,-0.570734691,0.142177406,-0.459057507,-0.212691161,0.308983686,-0.588783101,0.225043183,0.47501739,0.402804487,-0.203990497,-0.452227803,-0.36714727,0.272072415,-0.059101068,0.344247749,-0.007351171,0.013184137,-0.244783314,0.048030372,0.185727226
GIPC1,1.788643335,0.384485193,-0.395046219,0.978718049,-0.74691364,0.145343417,0.499966435,0.490575684,1.092679802,1.443050086,-1.404791161,-0.026033195,-0.726529864,-0.581988545,0.238950567,0.261597435,-0.962048524,0.133788477,-0.364707226,-0.732938171,-0.561694963,NA,-0.257785358,-0.383230653,-0.187808907,-0.922219746,-1.527030706,0.468747793
UQCRQ,0.492034024,-0.805348577,0.097878357,0.960439191,-0.136225465,-2.393352606,-0.996673091,-0.265557284,0.384981132,NA,-1.823635861,0.749915114,0.98015441,0.894335311,NA,1.172667241,-1.139595448,0.23476144,-0.587988054,NA,1.217062387,-1.288004383,0.206376102,0.422965809,0.743320277,0.247612771,-1.032425379,0.537273081
HGS,-1.600964327,1.50168711,0.226241295,0.866728855,0.221010636,0.014141103,-0.263736342,-0.48236166,NA,0.20238317,-0.45098916,0.29194229,-0.785271273,-0.883407,-0.356332021,0.486188093,-0.207397356,0.823485943,-0.833945254,-0.738448379,0.189912523,-0.39122931,-0.984677519,0.08647079,NA,0.05414717,-1.400690382,0.097640597
AURKA,-0.353216209,0.66139021,0.445252784,0.424271722,-0.137990317,0.230765693,0.157472115,0.193351888,-0.028379476,0.593804633,0.48618768,0.237764149,0.353329233,0.280249303,0.244002027,0.416710043,0.261578348,0.561115654,0.138227658,0.28055632,0.529341891,-0.02515163,-0.226243147,0.217724538,0.409481379,0.150886449,-0.014028389,0.068729492
XPO1,-0.954601597,-0.669301852,0.051178749,-1.085709244,-0.499534837,0.292736004,-0.316294056,0.420990366,-0.069634812,-0.932139255,0.310290129,-0.242586871,-1.014350322,-1.4758708,-2.257674584,-0.171647433,0.605431342,0.350766059,0.148740879,-0.843867357,-0.144826755,0.005566243,-0.006099317,-0.268774027,0.503336539,0.158744835,-0.525349994,0.145545268
LSM1,0.895809302,-0.26506986,-0.233433646,0.086479015,-0.361406634,-0.815144521,-0.209996484,0.494267733,0.331781081,-1.043649803,-0.045303139,-0.35477262,0.539418767,-0.394027677,-0.453432515,0.313120584,0.08513081,0.376243491,0.668517837,0.229743305,0.385276074,0.386325771,0.391434102,-0.119996801,0.133211639,-0.511028288,-0.304497108,1.170272231
SCAMP2,1.54364927,0.961446878,-3.188795582,-1.873568262,-0.499897915,1.514051021,0.818779229,-3.145870913,0.538935045,1.948870505,-2.192616961,-3.09345468,0.677484083,-2.156094082,3.58908921,-1.017857749,-3.473523455,-2.753953073,-2.455268127,2.768984275,0.856760694,1.008783755,-1.936916062,0.552112369,-0.768159603,-0.453858137,0.996160478,0.73594121
ARPC1B,-0.753528814,0.28045502,-1.320667058,0.017847973,0.223683126,0.028614713,-0.302272801,0.477866655,0.333330154,0.455879993,0.033254418,-0.816990732,0.100937344,0.004706499,0.41666306,-0.510598016,-0.153316036,-0.099457806,0.421707261,0.267151835,-0.235100489,-0.370435286,-0.415778966,-0.595859652,-0.368181618,0.012141675,-0.074684157,0.242086496
ARPC2,-1.412289769,-0.103353255,-0.17142714,-0.017658977,-0.367949272,0.180295547,-0.011830512,-0.966910841,0.225898085,1.116557282,0.626333158,-0.265414433,1.419799487,-0.748607387,-0.718543334,-0.76782547,-0.155231725,0.709899024,-1.45434323,-0.306181175,-0.381065846,-0.289022462,0.149050124,-0.096276319,0.408015808,0.66015321,-0.310875719,0.367344596
ARPC3,0.244584305,-0.339580325,0.173297754,-0.588625237,-0.017266935,-0.931215443,0.131005066,-0.172803609,0.218175337,NA,0.483964786,0.045340573,-1.620299892,0.220924246,-0.360333576,-0.071799508,0.007541688,0.223275097,-0.525233125,-0.361193503,-0.618424044,0.111968653,-0.145868688,0.299416837,0.161182321,-0.020558674,-0.43504605,0.272867869
PFDN6,-2.313710977,0.07724094,-0.540079556,-0.141259888,0.010969847,-1.244328641,-0.317683958,0.477877368,1.257498515,-0.471681665,0.495579933,0.144558163,0.117774571,0.000981251,0.308081277,1.421294294,0.142086124,-0.934387737,0.370719996,-0.323845008,0.378805863,-0.171159715,-0.711789987,0.595632218,0.190550016,0.331845501,-1.021050122,0.313066821
RER1,-0.367582129,-0.216012792,-0.276991327,0.007883809,0.200961675,-0.083629478,0.25019256,0.076507283,0.387980185,NA,-0.019590099,NA,0.377476555,-0.37102351,NA,0.790547159,0.514746326,0.577129218,-0.174992221,0.466666634,0.283929718,-0.569408836,0.116366382,-0.165123682,0.477149429,0.444862285,NA,0.199221517
HMGB3,0.032886644,0.035667422,0.031812441,-0.278405894,0.309076381,0.709382227,-0.501593793,-0.035210086,0.799407079,-0.924198649,-0.454114218,0.068500966,0.03719434,0.717794105,1.266810983,0.360541028,0.749665901,0.169872266,0.732037076,0.785903142,0.140502822,0.063543955,-0.198511728,-0.518584624,0.142008187,-0.141568158,0.526561885,0.148336537
EIF3D,NA,0.011849495,-1.416570438,0.618921495,-1.007769812,-0.514640235,0.112388215,1.35384222,0.590166654,0.492430686,0.746643608,NA,1.604411426,-0.807662825,-0.638688475,0.947206257,-0.445990938,-0.29632474,1.03303396,0.923617664,1.792344053,0.312740717,-0.995475986,1.093359389,-1.390932408,-1.184864248,-0.609232059,0.849897523
BCAT2,-0.191812581,0.058499192,0.268417376,-0.046814293,-0.016490795,0.134640653,0.027419761,-0.185724434,-0.006095371,-0.983840157,-0.336617417,-0.173618661,0.024022586,0.411770886,-0.086196261,0.011756053,-0.115405527,0.12190984,0.111429901,-0.322159629,-0.80829359,-0.982021372,0.306091262,-0.899119017,-1.022510879,-0.016740724,-0.96414417,0.128931676
ARPC5,0.24533319,0.504399362,-0.006836113,-0.115153078,0.208267023,-0.808018631,0.715868164,-0.482454098,-0.017420144,1.432270401,0.49202402,0.435898706,-1.524229102,-0.594588975,-1.349324639,-1.246616843,0.232818739,0.347462826,-0.826651151,-0.577276421,0.363763146,0.303114479,0.585611806,-0.093164102,-0.223143785,0.132546685,-0.234085867,0.031289056
CYB5B,-2.341745486,-0.740803015,0.106606484,-0.830208293,0.375604832,0.001188964,-0.256574161,0.221378091,1.903403037,1.365195362,-0.604038938,-1.952458652,-0.724374052,-0.056512123,0.043681294,0.407174118,-0.255057625,0.187066703,-0.762491298,-1.037728862,-0.710948646,-1.925590385,0.393766524,0.293535982,0.467019021,0.005692507,0,-0.445520722
MSH5,-0.731627228,0.054826085,1.166506397,0.226270496,0.824723026,0.197810652,-0.128623607,0,-0.676865867,-0.627650588,-0.117250442,0.23218962,-1.532041278,1.355676701,-1.302501411,0.566340718,-0.68049982,-0.276356598,0.407181027,-0.119784893,0.160738491,-0.697416313,0.321652633,-0.41360152,0.66145335,0.816157521,-0.047864594,-0.085230068
PSMD3,0.768562058,-0.214773878,-0.178592163,-0.110358626,-0.405430233,0.020665061,-0.324770261,0.19363436,-0.264485297,-0.347039542,0.008817144,-0.059758857,-0.445831885,-0.126746812,-0.248923843,-0.298231749,0.128730682,-0.168711907,0.254876502,-0.062190787,-0.036212742,-0.346615924,-0.248496422,0.142845402,0.36440838,0.161868137,0.426158225,0.239711391
TXNL1,-0.494077157,-0.088725367,0.086104201,0.41868144,-0.787327252,0.118823455,0.011369688,-0.269540125,-0.160927016,0.67255987,0.264460714,-0.302185234,-0.169982484,-0.330308211,-0.034737183,-0.101295571,0.080788117,-0.795835624,0.006782446,0.425102514,0.019409477,0.247589865,-0.357624688,0.256435445,-0.675255266,0.411028109,0.036270796,-0.789128453
TPD52L2,-0.086114339,0.652687155,0.071668323,0.015807653,0.930036396,0.04606453,-0.435190934,-0.316492419,-0.491749968,-1.67239597,-0.463010367,0.292040048,0.300407017,-0.170740171,0.491877454,0.016733034,0.100289593,-0.098469344,-0.544468859,-0.061564006,0.005008375,0.063711662,0.544844481,-0.094742665,-0.230675155,0.717388223,-0.112953424,-0.139871909
