,wAP0022_d4_2A,wAP0026_d0_10A,wAP0029_d8_50A,wAP0030_d0_51A,wAP0033_d8_20A,wAP0037_d4_31A,wAP0041_d0_41A,wAP0042_d0_87A,wAP0042_d4_42A,wAP0043_d8_40A,wAP0045_d4_88A,wAP0046_d0_46A,wAP0047_d4_47A,wAP0050_d0_93A,wAP0026_d4_97A,wAP0051_d0_98A,wAP0051_d8_106A,wAP0052_d4_103A,wAP0052_d8_96A,wAP0054_d0_100A,wAP0055_d8_101A,wAP0057_d0_102A,wAP0058_d0_109A,wAP0058_d8_108A,wAP0059_d4_107A
MYOCOS,0.11480981,0.092006632,-0.231202977,0.594886877,-1.309966686,NA,0.378044923,-0.458686604,0.572136419,-0.197101411,0.825211872,-0.611497107,-0.17832574,0.482365389,0.68851812,1.312270423,0.190493297,-0.051180111,-1.037220159,-0.338738843,-2.392024595,0.0018528,-0.117146298,-0.025914016,-0.095789427
TLE7,-0.175461299,0.311390429,0.032499668,0.373659194,0.245852969,NA,0.00073641,-0.106559662,0.182445226,-0.310376311,0.557765053,-0.206325818,0.357081085,-0.104131455,-0.272611378,0.263451683,-0.002760022,-0.645759146,0.261299139,-0.068240456,0.010705375,-0.123208324,0.159811718,-0.279099249,0.332029185
UBA6,-0.74918339,0.34500145,-0.450940078,-0.186810846,0.020774537,-1.965179772,-0.02726937,-0.024723581,0.220714248,0.189780332,-0.071044016,-0.207549161,0.374568808,-0.361787961,-0.177789216,-0.281579239,-0.130195902,-0.122622394,-0.168188559,-0.286849537,-0.192861714,-0.364922775,0.224053012,-0.006826079,-0.398567022
ESYT2,NA,-3.931962304,-5.081333333,0.197647001,NA,-1.248496713,0.266145751,0.485464567,1.041417163,0.637648519,0.677624707,0.56499696,1.017674997,1.267967056,-3.601332833,0.717079999,0.44700948,0.196730845,0.62024756,-0.561552552,NA,-0.846840369,0.488427685,-0.373344576,0.900146993
SHTN1,-0.856549056,-0.219027468,0.11272554,0.078854796,-0.261364642,NA,-0.105408338,-0.457198119,0.176480536,-0.553754039,-0.297458197,0.141276442,-0.044216409,0.566030819,0.173776561,0.59096712,0.383245082,-0.400296032,0.238544877,-0.718680022,0.58187804,0.631148633,-0.289328497,0.680049109,0.722061654
GTPBP10,0.644951751,0.662112636,0.894397662,0.201329508,0.127878672,-0.16541029,-0.51990976,1.307805672,-0.216565514,0.94417843,1.148826691,-0.184350068,0.914075618,0.188464099,-0.918536801,-0.009523474,-0.095695487,0.696550135,0.91932053,0.447921277,-1.222585835,0.07686137,-1.858123639,0.059425337,0.17208165
IZUMO1R,0.453670541,-0.344131971,1.009129267,-0.163934313,-0.107779223,1.33913787,0.021027227,-0.704595417,1.188902095,0.8062663,0.104570703,1.356178359,-0.174779697,-0.514447797,-0.229694903,0.460185833,0.462799345,0.134673078,0.742856173,-0.545719251,0.725352085,-0.876270414,-0.021338236,-0.175344421,-0.489120959
PGP,-0.304830922,1.093722111,NA,-0.576455195,-0.302527682,NA,0.069828592,0.53390589,0.762660842,-0.451128555,-0.651690636,0.776918026,-0.124043384,0.662204343,0.229867435,-2.508358279,-2.380309783,-0.043510037,-0.095722547,-1.00084029,0.788811957,-0.228360901,0.138821497,-1.201099986,0.232540412
ZNF840P,-0.92727726,-0.366832521,-0.266456938,-0.158891901,-0.291017243,0.280048834,-0.077652719,-0.111043125,-0.147179764,-0.209736012,0.030096566,0.130387857,-0.070369035,0.138665852,0.247204821,-0.013931796,0.534241883,0.211474858,0.244548731,-0.688498265,-0.578926246,-0.105257783,0.068595963,0.122509433,0.194576047
OOEP,-0.469984194,0.069328428,-0.125275558,-0.225455331,-0.014501795,0.433922212,0.071794086,0.203455295,0.575380036,-0.02012948,0.084816297,-0.101292677,0.357063746,0.559463347,0.118533528,0.137469098,0.263637984,0.110586738,-0.20490913,-0.428356415,0.036842049,0.153231618,-0.008128791,0.285415667,0.128362691
PCP4L1,0.590330197,NA,0.15645047,-2.772980973,-0.879019324,NA,-1.457829134,-1.468847561,-1.060361421,-0.267080446,-1.095653119,-0.269339025,-0.946308661,-0.15961538,0.26562412,1.093533485,0.97101555,0.981543534,1.050110643,0.01866515,0.23334519,-0.809493903,-0.852336547,0.775699325,0.136872002
EIF4E1B,-0.232054207,-0.104054225,-0.59934053,0.686544357,0.47090778,-0.002675186,0.002670235,-0.306791494,-0.793667238,-0.47491055,0.2127668,0.075159253,-0.723288352,-0.538371723,-0.255914003,-0.84678938,-1.139944436,-0.316699919,0.379902136,-0.307608174,-0.370490087,-0.295646913,0.232476087,-0.592294799,-0.108327941
TUBB8B,0.927766422,-1.129407316,-1.579243999,-1.588540119,NA,0.135776292,-1.79278333,-1.308880343,NA,-2.069950744,0.021191047,-0.522655503,-0.242035543,-2.122582428,1.91528418,0.414017751,-0.35587371,1.459908185,-0.08141869,0.735700403,0.527181511,1.911549372,0.760034365,-0.094948814,0.884766584
HIDE1,0.617057896,0.953655707,-0.159056783,1.191166637,-0.520379161,-0.15667029,1.080074934,-1.353583212,0.026955842,-1.28839844,0.703533052,0,-0.668843033,-0.446989905,-0.287554245,0.05533343,0.563397917,NA,-0.208360623,-0.029662133,0.054083451,0.050230289,-0.458983783,-0.453149029,0.673407731
PATL2,0.187969624,0.517332322,0.866394124,-0.138801753,0.342535319,0.017491944,-0.073614709,0.214455496,0.48167368,0.484714092,0.769443213,-0.187845032,0.279919336,-0.229484605,0.133528776,-0.292074796,-0.376912216,-0.064798699,0.12109128,-0.018940196,-0.752900865,-1.060853675,-0.836653667,-1.133324842,-0.452661429
NACA,-0.031251596,0.081868649,0.390775289,0.441181625,0.12741972,-1.92628802,1.282261959,0.494569126,-0.316332011,-0.853872666,-0.384498725,0.239282447,0.187027231,0.16505087,-0.322841922,-0.086125029,-0.315232753,-0.45966205,-0.296055148,-0.329473746,0.072296797,0.274549652,0.595564532,0.625051288,-0.287700068
SLC35A4,0.406198153,0.346185673,0.019998786,-0.421026112,0.249986544,-1.405140016,0.724364149,-0.799149831,-0.697069103,0.47190391,0.236344599,0.675921684,-0.732823884,0.737234332,0.541600005,0.529461525,0.830722753,-0.361327311,-0.108881688,0.66493773,1.065660026,-0.625958165,-1.16734932,0.061327598,-0.252638604
ACOT7,-0.351461879,0.492398198,0.226042339,-0.389380216,-0.174842739,-0.988316612,0.168807721,0.224946143,-0.149729834,0.072519259,0.000732025,0.091401002,0.113053911,-0.453588021,0.83570572,-0.050087325,0.179388185,0.580573734,0.344878898,0.530170823,-0.672573973,-0.119829879,0.269025112,0.351151509,-0.148618844
AIP,-0.51851912,-0.71095106,-0.770081116,0.313626723,0.351372829,NA,-0.078934441,-0.052545313,0.176046212,0.323068497,-0.641021192,-0.67960987,0.540459748,-1.248587053,0.758642808,0.69070984,0.754492865,-0.015953335,0.588983643,-0.086790216,-0.160656801,-0.06090024,-0.120396652,-0.11199455,1.022344914
STXBP3,NA,0.831977399,0.421877102,0.031732095,0.501518044,-0.001153366,0.25974378,0.415781929,0.431506071,0.762485932,0.460448065,0.640583615,0.220582022,-1.175164541,-0.116646228,0.519590343,0.419251458,-0.181490111,-2.059957153,1.053072917,0.210872692,-0.319551984,0.469314261,NA,-0.324818112
AP3B1,2.075576098,-1.605106087,0.129722749,0.000773534,0.38261126,2.47657529,-0.972296064,0.342415801,0.349911909,-0.216178907,0.208397049,0.636608184,-0.611666907,-2.881711759,0.029608069,1.27336484,0.754548096,0.858486497,-0.518588452,NA,-0.039434478,-0.290647207,-0.359061095,0.888184688,-0.076983459
LGALS8,-1.283912313,-0.456306824,0.192998673,0.197458245,-0.125329206,NA,0.216982714,0.323254508,-0.076121655,-0.09433319,0.421958399,-0.829332526,0.349103671,0.188448685,0.314031782,-0.437811344,-0.774427701,0.884694293,0.708811766,0.019292705,-0.038505666,0.591880157,0.132433051,0.187402218,-0.143641426
NDUFS8,0.806291986,-2.596880161,-0.852542071,-1.171213846,0.001504705,-0.127653368,0.224618486,0.778945638,0.503191689,0,0.380732708,0.636716878,0.957584019,1.179185666,-2.870149011,0.219936774,-0.108331869,0.955805253,0.72518374,0.310965921,0.067755212,-1.847308587,0.417147464,-0.937933806,-0.530897785
PSMD11,-0.357105123,0.021068045,0.243840996,0.023892131,0.125162125,-0.079233082,-0.311277542,0.043124115,0.133711726,0.052898265,0.058166126,-0.324175746,-0.153973595,0.213976295,-0.122970254,-0.06498034,0.326123236,-0.333972845,-0.081497087,-0.222122898,0.271472146,-0.671033058,0.234798704,0.157663289,-0.32335917
PSMD12,0.2206955,0.12683722,0.567680546,-0.779759736,-0.104505343,0.203505301,0.445639525,-1.148554892,-0.157826756,0.237299962,-0.22899815,0.129112613,-0.225900228,-0.989299163,-0.608595593,0.553462748,-0.014797751,NA,0.371628865,-0.09001197,0.206574293,-0.071285111,1.174097172,-0.133193755,0.64421525
ATOX1,0.586486331,-0.871979975,-1.039077765,-0.695516307,-0.419341023,NA,-0.036076965,0.825236326,0.121222908,NA,-1.032716852,0.528225806,0.506075163,-0.051213274,0.035196767,0.316428206,0.699786389,-0.740828028,0.655959436,0.484044143,-0.661229973,-0.180903196,0.592905089,0.194237195,0.099609046
DFFA,-1.300685138,-2.23334029,0.382378649,0.280849702,-2.006914403,NA,0.024933544,0.467661244,0.687822646,-0.110735247,0.882429681,-0.161263187,0.12489529,-0.82834965,-2.46561563,-0.365622801,0.970796772,-0.024532428,-0.051888316,1.014362671,-0.953361216,-0.130347206,-0.661605959,0.145585269,1.149981668
PDHX,1.444064904,0.161321921,-0.423979058,0.021451674,-0.007854207,-1.742720543,-0.314991012,-0.537991558,-0.446575735,0.334758162,-0.373886626,-0.398848238,0.598407115,0.397108527,-0.087053799,-0.376205368,0.279533778,0.306427289,0.056904638,0.138009005,-0.090421134,-0.110287612,0.407414979,1.100437242,0.770805299
IPO5,-0.031772397,-0.158330939,2.64707455,0.426411859,0.198519251,NA,-1.306081689,-0.521332792,1.203006641,NA,NA,-0.423542987,0.398108905,-0.184637008,-0.750778443,-0.213116782,0.131471671,-0.335289651,0.547222142,NA,0.031087726,1.792151818,0.79912492,-0.127194901,-0.360359257
IGF2BP3,-0.332302473,-0.054161691,0.765201268,0.037347758,0.180763939,0.306127998,0.183942152,-0.072204923,0,0.220459761,0.423101435,-0.324897335,-0.021829172,0.061598449,-0.816928227,-0.718980942,-0.339460313,-0.272438466,0.270800528,-0.503025192,-0.102447285,-0.309104972,-0.171076595,-0.860823594,-0.45325935
DNM1L,0.022665715,-0.081158641,0.117951771,-0.169086277,0.007483845,0.127456602,-0.543148347,0.021005785,-0.112380766,0.066830629,-0.064990165,-0.643085806,0.036952321,0.092163638,-0.04735886,-0.153057881,-0.201374385,0.189808965,0.388568412,-0.674636239,0.421837282,0.629150742,0.251291141,0.286392489,-0.112844318
RTCA,0.351092512,-0.84740128,3.033317794,-0.065097128,-0.407758748,1.577938371,0.457778779,0.079380835,0.272167581,0.917358069,-0.618421957,-0.105241835,1.289465398,-0.700403782,0.627807569,0.294959042,-1.111225032,NA,-0.276115029,-0.115987711,-0.515779226,-0.219258237,-0.243526501,-0.861276787,-0.681792643
NDUFA4,0.082981005,-0.575272869,NA,-0.277267476,-0.74330026,NA,1.243684406,0.957771781,0.17153159,NA,0.594907899,0.559835865,0.522271458,1.115382614,-0.505014613,-0.296816638,1.317284943,0.666662798,-0.746751347,0.53917116,0.932058426,0.38822789,0.710264745,-0.742619665,-1.204667444
PSMD14,-0.534696844,0.339739619,0.207507742,0.150379569,0.150151474,NA,-0.007242591,0.147996455,0.12125793,-0.250736425,0.221060956,0.002612715,-0.625085477,-0.026995358,-0.079507554,-0.002617455,0.114720453,-0.429543766,-0.086155972,-0.750075283,-0.094559577,-0.813415255,-0.013162841,-0.350597167,-0.215113421
LAD1,0.169214097,-0.000758485,-0.629034836,0.101099117,-0.126233601,-0.528535103,-0.177579075,-0.270731661,0.422841545,0.591214274,-0.406533765,-0.163048855,-0.187998224,0.233846608,0.208567652,0,0.475423459,0.004566358,0.180916642,-0.461762911,-0.260776689,0.055664275,-0.281153869,0.501057224,0.162722266
VWA5A,-0.024217981,0.191494116,-0.913042547,0.166238619,-0.280764622,1.485125578,-0.341588769,0.269122265,-0.208743552,0.479768751,0.247062946,-0.513863349,-0.277734575,0.346034797,0.208608912,-0.037362841,-0.495807447,0.294026886,-0.26308163,-0.173846234,-0.529775908,0.166554818,0.125323743,0.093778343,0.232331444
SDCBP,-1.982946138,-0.660909372,1.23612966,-0.196366078,0.82905552,-0.212342101,0.810143914,0.22039757,-0.64737256,0.899678062,-2.064345574,-0.696658643,-2.234975674,0.146413597,1.312797978,0.391640831,0.455244869,-0.863339503,-0.351803822,0.318380524,0.200840082,-0.848657216,1.115189878,-0.594718277,-1.066790409
DDX3X,-1.251638802,-0.505773566,0.24937037,0.262594155,-0.018330604,-0.336137478,0.504454394,0.410463276,0.137848902,0.494732299,-0.522404821,-0.233088296,0.259440338,0.272007964,-0.111810705,-0.23082352,-0.164028966,0.003366923,0.089813934,0.148140079,0.273485366,-0.246289559,0.030595778,-0.446937368,-0.473345858
PODXL,0.235336534,0.631009744,0.31363776,0.578651901,-0.46171439,1.30321589,0.492770289,0.840053078,0.625183867,0.145074773,0.213247169,0.531430367,0.451105969,0.834552235,-0.082904546,-1.283621868,-0.854550896,0.889986911,0.09230438,0.499470681,-0.230342633,-0.087460491,-0.608657425,-0.746619003,-0.833454359
PDXK,-1.59611597,-0.335554936,-0.053721716,0.003581828,0.28610641,-0.938324114,0.011745784,-0.30162702,0.597493555,0.30987789,-0.443151647,0.53275842,0.276426179,-0.328456206,-0.69233315,-1.315969696,0.400199906,-0.929415213,0.275686259,0.322694562,0.346959136,-0.165303645,0.2234527,0.705000087,-0.215387285
COX7A2L,NA,1.156339983,-0.426970441,-0.731187256,-1.243696391,-1.143713097,1.085896436,0.351932484,NA,1.092558624,0.507019245,-0.250252541,0.00390206,1.05585178,0.27419087,-2.013019845,-1.556722098,-0.623778859,-1.501029402,-0.053356221,1.256379523,-0.851784435,0.643743983,0.452807514,-0.522230821
NDUFAB1,-2.067401439,-0.724034686,-0.389201693,-0.098623102,0.630471549,-0.06227596,-0.828466398,-0.038141622,0.360109106,0.117373689,-0.368117556,-0.652663407,0.046861401,-1.386938631,-0.604462217,0.658321861,0.728115211,0.655782911,0.162795028,-0.5718262,1.820432367,-0.245028217,0.430187423,1.014336837,0.199330448
UBFD1,0.516924653,-0.179931111,0.112508753,-0.171119803,0.119156397,NA,-0.286675589,-0.791609886,-0.338197903,-0.371245267,-1.288052211,-0.675335682,-0.258385087,-0.439156685,0.405803993,-0.022259536,0.5309222,-0.213968793,-0.526760372,-0.21739965,0.274452109,-0.336434108,-0.361853454,0.055940953,-0.342238347
CIT,-0.124841184,-0.431162597,-0.288440074,-0.696208882,0.205865886,1.086294106,-0.033376166,-0.117306143,0.769222584,0.249103494,-0.125972369,1.17814816,0.15071586,0.606425779,-0.388960654,-0.339399691,0.0096095,-0.064279277,0.389099587,-0.118997711,-0.1473889,-1.515573341,-0.851558371,-0.090707325,-0.044930877
COPE,-0.313212586,-0.505057335,0.250178217,0.162667358,-1.718656269,0.81885502,0.212324747,-0.257002037,-0.174423998,-0.913433285,0.301048395,-0.439132017,0.030327819,0.045105969,-0.501756673,-1.085965611,0.056761786,0.237585828,0.216018885,-0.555331028,0.476729763,-0.000660535,0.634074047,0.453323112,0.363850803
CCS,0.836709547,0.828126958,-0.148714735,-0.520846551,0.076051492,NA,-1.985206331,-1.146836816,-0.119844815,-0.233638259,-0.15042532,-0.416273187,0.335227784,-0.692180467,-0.230362638,-0.214761156,0.172175872,-0.386977858,-0.160877359,-0.683033407,-0.393175182,0.541928745,0.038603704,0.045798508,0.859544658
PDCD5,0.039406651,-0.434283728,-0.512169698,-0.160105278,-0.594805685,-4.694278598,-0.026161602,0.147053665,-0.105653811,-0.718253332,-0.343994974,-0.030781127,-0.297809134,0.212623229,0.35456496,0.734265137,0.582576795,0.354200747,0.101134666,-0.183128003,0.037255849,0.263105026,-0.02433195,0.258184749,0.479799613
NHERF1,0.08625159,-0.565088423,-0.749718507,0.290765623,-0.024689914,-1.930479325,0.323769924,0.009401878,0.527420306,-0.011142634,0.094528327,-0.592003128,0.348990803,0.624376824,0.290406201,-0.307730957,-0.511438354,-0.001703282,0.184596589,0.000216056,0.106813207,-0.380624356,-0.254781378,0.215651823,0.105369301
APOL1,NA,0.896868704,0.273790322,0.474174302,-0.488147707,NA,-0.42449174,0.499847026,-0.679227541,NA,0.554963707,-2.194628413,-0.029508073,-0.396754558,1.051602976,NA,0.126598174,-1.64615933,-0.173339828,-1.744235786,-1.040740409,0.138613744,-0.060803142,NA,0.574889917
PSMA7,0.04306217,-0.485157857,0.040792065,-1.066161708,0.254521524,-0.757661423,0.023188157,0.462218119,0.492432931,0.972820794,-0.303704912,0.098960358,0.105378924,-0.388501838,-0.203990497,-0.452227803,-0.36714727,0.272072415,-0.059101068,0.344247749,-0.007351171,0.013184137,-0.244783314,0.048030372,0.185727226
GIPC1,0.882293544,-1.459781779,0.463235429,0.350938753,0.725886413,-1.669285591,0.037171021,0,0.456338146,1.020829821,-0.900350582,NA,-0.215884246,-0.870553675,0.133788477,-0.364707226,-0.732938171,-0.561694963,NA,-0.257785358,-0.383230653,-0.187808907,-0.922219746,-1.527030706,0.468747793
UQCRQ,-0.913459108,0.531981073,-0.173446389,-1.446968915,-2.735771224,0.847529373,-0.415379452,0.171801433,0.195262906,0.599490986,0.156543449,0.200517772,-0.292335039,0.146537371,0.23476144,-0.587988054,NA,1.217062387,-1.288004383,0.206376102,0.422965809,0.743320277,0.247612771,-1.032425379,0.537273081
HGS,-1.630471906,0.347249744,-0.696596871,0.112567384,1.280533443,1.744269752,0,0.632755682,-3.510611164,NA,0.052850624,-0.663937762,-0.111383093,0.325053058,0.823485943,-0.833945254,-0.738448379,0.189912523,-0.39122931,-0.984677519,0.08647079,NA,0.05414717,-1.400690382,0.097640597
AURKA,-1.640251964,-1.11455442,-1.153114264,-0.935736958,-1.977028672,-1.068448883,-0.95561329,-0.63832657,-0.753907931,-1.256548819,-0.421576958,-1.127550861,-0.94766772,0.842637883,0.561115654,0.138227658,0.28055632,0.529341891,-0.02515163,-0.226243147,0.217724538,0.409481379,0.150886449,-0.014028389,0.068729492
XPO1,NA,-1.226842111,-0.285062798,-0.956244454,0.754232445,NA,0.282429641,-0.426281166,-0.31097971,-0.678867985,0.353047338,0.320601214,-0.125583488,1.332295306,0.350766059,0.148740879,-0.843867357,-0.144826755,0.005566243,-0.006099317,-0.268774027,0.503336539,0.158744835,-0.525349994,0.145545268
LSM1,0.013924139,0.051600123,-0.136302515,-0.184810872,-0.451556203,1.706562722,-0.481367096,0,0.625003438,0.346597147,0.717406122,0.226164857,0.03870415,-0.472865582,0.376243491,0.668517837,0.229743305,0.385276074,0.386325771,0.391434102,-0.119996801,0.133211639,-0.511028288,-0.304497108,1.170272231
SCAMP2,NA,-0.662687651,-2.233904797,-1.214665147,-0.59396606,-0.921842478,0.163628781,0.837886963,NA,4.827525954,-3.555392532,NA,0.632982812,0.946316274,-2.753953073,-2.455268127,2.768984275,0.856760694,1.008783755,-1.936916062,0.552112369,-0.768159603,-0.453858137,0.996160478,0.73594121
ARPC1B,-0.010989523,-0.719128076,-0.004721903,-0.384327853,-0.636131271,NA,0.38233589,0.156572086,0.383084127,-0.34442791,0.272360311,-0.475790142,-0.574079954,0.548674401,-0.099457806,0.421707261,0.267151835,-0.235100489,-0.370435286,-0.415778966,-0.595859652,-0.368181618,0.012141675,-0.074684157,0.242086496
ARPC2,-0.091823149,0.239299932,1.222167637,0.56816501,0.605346284,-1.279698383,-0.914127725,0.235214508,0.154404452,0.299070813,-0.30897163,-0.612793264,-0.138694827,-0.871878067,0.709899024,-1.45434323,-0.306181175,-0.381065846,-0.289022462,0.149050124,-0.096276319,0.408015808,0.66015321,-0.310875719,0.367344596
ARPC3,0.081835405,-0.227776414,0.608765791,-0.148536364,0.713786945,0.658828633,-0.368178363,0.534638846,0.43437653,-0.347801762,0.144060003,0.26106243,-0.166957055,-0.373949045,0.223275097,-0.525233125,-0.361193503,-0.618424044,0.111968653,-0.145868688,0.299416837,0.161182321,-0.020558674,-0.43504605,0.272867869
PFDN6,0.940062054,2.287390539,-0.433917352,-0.164363712,0.254606804,-1.266285713,0.015856809,0.452858743,-0.436658207,-1.720738244,-1.581415583,0.011364826,0.359694806,0.004028381,-0.934387737,0.370719996,-0.323845008,0.378805863,-0.171159715,-0.711789987,0.595632218,0.190550016,0.331845501,-1.021050122,0.313066821
RER1,-0.560813148,-0.532785035,NA,-0.260651878,-0.591289028,0,-0.048552085,0.408050609,0.452514989,0.289876348,0.407367361,0.692093943,0.306862076,-0.093956598,0.577129218,-0.174992221,0.466666634,0.283929718,-0.569408836,0.116366382,-0.165123682,0.477149429,0.444862285,NA,0.199221517
HMGB3,0.396589724,0.272490099,-0.294407052,0.356059837,0.49825863,NA,0.052135356,-0.050480194,0.726422058,0.282847255,0.02202891,-0.054841955,0.418228125,0.770666507,0.169872266,0.732037076,0.785903142,0.140502822,0.063543955,-0.198511728,-0.518584624,0.142008187,-0.141568158,0.526561885,0.148336537
EIF3D,NA,-0.119936968,0.335057948,-0.05518372,-1.43479804,1.749423291,-0.084175441,0.177187769,1.814218935,-1.065155169,2.121805024,-0.897884049,2.405280886,-0.088338327,-0.29632474,1.03303396,0.923617664,1.792344053,0.312740717,-0.995475986,1.093359389,-1.390932408,-1.184864248,-0.609232059,0.849897523
BCAT2,0.22560822,0.860412322,0.177046904,-0.250686949,-0.258538243,0.134790409,0.372021767,-0.088105365,-1.135195381,-0.02832861,-1.052050997,0.431902946,-0.589050962,0.026767304,0.12190984,0.111429901,-0.322159629,-0.80829359,-0.982021372,0.306091262,-0.899119017,-1.022510879,-0.016740724,-0.96414417,0.128931676
ARPC5,0.21837156,-0.393767303,1.037546671,0.059533095,0.340961137,-2.634712924,-0.049517991,-0.102978546,-0.649048815,0.506281674,0.737848475,0.322658333,0.596018443,0,0.347462826,-0.826651151,-0.577276421,0.363763146,0.303114479,0.585611806,-0.093164102,-0.223143785,0.132546685,-0.234085867,0.031289056
CYB5B,NA,0.483102634,-0.149032153,0.261198524,0.137165847,-0.231541712,-0.712034578,-1.064550336,-0.89387683,0.616286091,1.060525178,-0.443035963,-0.541636423,-0.37702107,0.187066703,-0.762491298,-1.037728862,-0.710948646,-1.925590385,0.393766524,0.293535982,0.467019021,0.005692507,0,-0.445520722
MSH5,-0.093185453,0.376594615,-0.469835131,-0.25371784,-0.379877854,0.627792895,0.734484776,-0.102234772,-0.528689237,-0.807317563,0.204519265,-0.020139755,-0.773184217,0.739864628,-0.276356598,0.407181027,-0.119784893,0.160738491,-0.697416313,0.321652633,-0.41360152,0.66145335,0.816157521,-0.047864594,-0.085230068
PSMD3,-0.293872987,0.222643973,0.255168347,-0.222632876,-0.009665508,-0.720866174,0.144858194,0.057769917,-0.079192648,-0.035011854,0,0.286125639,-0.135899765,-0.486304533,-0.168711907,0.254876502,-0.062190787,-0.036212742,-0.346615924,-0.248496422,0.142845402,0.36440838,0.161868137,0.426158225,0.239711391
TXNL1,0.594485025,-1.757124184,0.558239303,-0.40123846,0.737663658,NA,-0.006814482,-0.341194057,0.085404273,-0.410521866,0.389440812,-0.978239401,-0.302618588,-0.117266837,-0.795835624,0.006782446,0.425102514,0.019409477,0.247589865,-0.357624688,0.256435445,-0.675255266,0.411028109,0.036270796,-0.789128453
TPD52L2,2.069554522,-0.418710105,-0.34473657,1.104547837,0.194830505,NA,0.315860417,-0.640242393,-1.75225237,-0.266697291,-0.081636418,-1.019620916,0.271178593,0.171147351,-0.098469344,-0.544468859,-0.061564006,0.005008375,0.063711662,0.544844481,-0.094742665,-0.230675155,0.717388223,-0.112953424,-0.139871909
COCH,-0.887458321,0.251388137,0.436067563,0.306280538,0.014960028,-2.342024635,0.72067111,-0.639816156,-0.235841202,0.562491125,0.6831309,0.089891703,0.419448256,0.355247494,-1.220384179,-0.718450395,-0.875428631,0.159862993,-0.166701237,0.159820418,0.016279974,-0.040862466,0.725385041,-0.278175783,-0.56055232
PPIH,0.264556292,0.817940042,-0.574714821,-0.103438122,-0.312034003,1.944277008,0.464386817,0.204920363,-0.134722854,NA,0.129845753,-0.14555928,0.171270568,0.075029924,0.026169815,0.658892783,0.741467235,0.45139263,-0.374327699,0.054442236,-0.377179335,-0.07981516,-0.898478105,0.095068095,-0.203436091
AKR7A2,-0.076388822,0.015165746,-0.575583067,-0.596688381,0.684783079,0.320429722,-0.803246018,0.492801884,-0.236471804,-0.458264251,0.23403635,-0.048792492,-0.24220741,-0.042400334,-0.501298978,0.063751381,0.270960655,-0.808481529,0.158338241,-0.044292536,-0.338525729,-0.205330918,0.175661283,-0.204744521,-0.058666637
EPB41L2,0.619043422,0.479078995,0.281331299,-0.107588687,0.021821322,2.021677162,0.34244794,-0.334872567,-0.08525312,0.154045027,0.238930688,0.485123786,-0.183806649,0.145010467,0.422953586,-0.253160148,0.12868992,-0.486316497,0.104887333,-0.417962445,0.48355314,-0.579912426,-0.276260311,0.238964561,-0.755396756
LAMTOR5,-0.219452895,0.374595277,1.787577663,-0.364777342,0.29714498,NA,0.304110837,-0.404090489,-0.124555689,0.407927013,-1.002542743,-0.250721513,0.158918482,0.467072996,0.359457645,0.526651765,0.828265158,0.450943777,0.851717233,0.524754929,0.884676529,-0.794427982,-0.149950885,0.841138403,0.859824709
TIMM44,0.540948673,-0.214984026,0.087348799,-0.101377688,-0.204203838,-0.044678629,0.645951955,-0.010463665,0.528483357,0.420997322,-0.019912992,-0.367470604,0.245201807,0.181892346,0.37806841,-0.614823,-0.153676732,0.614668844,0.335397184,-0.721306721,-0.122654651,0.189995287,-0.165167534,-0.257872104,0.483782575
TRAPPC3,NA,0.197013141,NA,-1.365580051,-0.116722276,3.352438762,-0.427970795,0,-1.767526595,0.726686885,-1.177647009,1.284771502,-2.054352926,-0.594595213,-0.6180868,-0.981542785,-0.529699117,-1.770176879,-1.693648324,0.528608854,1.091383006,0.022881,0.949831259,2.22062044,0.318495673
NCK2,-1.006583126,-0.16994817,0.937937531,0.101062527,0.377681172,NA,-1.211247103,0.316801868,0.379713672,-0.539885286,0.230714176,-0.697171122,0.347440951,0,0.047917818,-0.859817805,0.392377088,0.376519343,-0.099774482,-0.557359696,-0.895164951,0.313549686,0.714325506,0.867218498,1.317279689
NDUFA2,0.753345319,-0.660319711,NA,-0.316781572,-0.665629039,0.087604471,1.263814421,0.004039316,0.23316866,0.212550549,0.122330565,1.174024112,0.231949026,0.720358785,-0.244037905,-2.20547137,-0.535389031,0.319865967,-2.033828012,0.687308063,0.644240378,-0.750977889,-0.005075482,0.20559991,-0.965340049
GET3,-1.48012768,0.353918834,1.030088048,-0.416124159,0.321791479,NA,0.057953371,0.121770091,-0.012452658,-0.039830441,0.134878747,-0.103806417,-0.556860511,-0.711008421,0.032985854,-0.72089352,-0.258906736,0.154797009,1.027028818,-0.691284888,0.207318872,-0.216133107,-0.396510062,0.586555693,0.185338211
BUB3,-3.022101251,-1.028277174,NA,-1.222403237,-0.925631914,NA,-0.898877467,-0.040413412,-1.215359724,-0.314812978,0.941781701,0.537914336,0.551776536,0.648372064,0.241892363,0.333210423,-0.063940371,-0.153495025,-0.465398316,0.212815386,-1.346097502,0.519437756,0.356283737,0,0.658585115
ACTN4,-0.053316302,-0.067945853,0.190910636,0.034448872,0.019216847,-0.666781606,-0.308909086,0.090422436,-0.04922713,0.344180446,-0.254815658,0.363124102,-0.240935964,0.157198004,-0.07510445,0.51784032,0.219023572,-0.22780319,-0.163307661,-0.351259082,-0.296373113,-0.000498858,0.038865871,0.318377095,0.019190966
